SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
1,06/10/2020,Andaman and Nicobar Islands,India,33,0,33
2,06/11/2020,Andaman and Nicobar Islands,India,38,0,33
3,06/12/2020,Andaman and Nicobar Islands,India,38,0,33
4,06/13/2020,Andaman and Nicobar Islands,India,38,0,33
5,06/14/2020,Andaman and Nicobar Islands,India,38,0,33
6,06/15/2020,Andaman and Nicobar Islands,India,41,0,33
7,06/16/2020,Andaman and Nicobar Islands,India,44,0,33
8,06/17/2020,Andaman and Nicobar Islands,India,44,0,33
9,06/18/2020,Andaman and Nicobar Islands,India,44,0,33
10,06/19/2020,Andaman and Nicobar Islands,India,45,0,35
11,06/20/2020,Andaman and Nicobar Islands,India,47,0,36
12,06/21/2020,Andaman and Nicobar Islands,India,48,0,37
13,06/22/2020,Andaman and Nicobar Islands,India,48,0,37
14,06/23/2020,Andaman and Nicobar Islands,India,50,0,40
15,06/24/2020,Andaman and Nicobar Islands,India,56,0,43
16,06/25/2020,Andaman and Nicobar Islands,India,59,0,43
17,06/26/2020,Andaman and Nicobar Islands,India,72,0,43
18,06/27/2020,Andaman and Nicobar Islands,India,72,0,43
19,06/28/2020,Andaman and Nicobar Islands,India,76,0,45
20,06/29/2020,Andaman and Nicobar Islands,India,90,0,46
21,06/30/2020,Andaman and Nicobar Islands,India,97,0,50
22,07/01/2020,Andaman and Nicobar Islands,India,100,0,50
23,07/02/2020,Andaman and Nicobar Islands,India,109,0,51
24,07/03/2020,Andaman and Nicobar Islands,India,116,0,54
25,07/04/2020,Andaman and Nicobar Islands,India,119,0,66
26,07/05/2020,Andaman and Nicobar Islands,India,125,0,72
27,07/06/2020,Andaman and Nicobar Islands,India,141,0,74
28,07/07/2020,Andaman and Nicobar Islands,India,147,0,75
29,07/08/2020,Andaman and Nicobar Islands,India,149,0,77
30,07/09/2020,Andaman and Nicobar Islands,India,151,0,83
31,07/10/2020,Andaman and Nicobar Islands,India,156,0,92
32,07/11/2020,Andaman and Nicobar Islands,India,163,0,93
33,07/12/2020,Andaman and Nicobar Islands,India,163,0,93
34,07/13/2020,Andaman and Nicobar Islands,India,166,0,109
35,07/14/2020,Andaman and Nicobar Islands,India,166,0,109
